=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 1.968310583469227e-06		Ring Algorithm: 2.6931126324995963e-06
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 2.4870170688777148e-06		Ring Algorithm: 3.2118191179080846e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 3.524430039694691e-06		Ring Algorithm: 4.2492320887250605e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 5.599255981328643e-06		Ring Algorithm: 6.324058030359012e-06
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 1.8616669354838706e-05		Ring Algorithm: 2.7329669354838706e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 1.9807338709677414e-05		Ring Algorithm: 2.8520338709677413e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.2188677419354835e-05		Ring Algorithm: 3.090167741935483e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 2.695135483870967e-05		Ring Algorithm: 3.5664354838709674e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 3.647670967741935e-05		Ring Algorithm: 4.5189709677419346e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 5.552741935483871e-05		Ring Algorithm: 6.42404193548387e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 9.362883870967741e-05		Ring Algorithm: 0.00010234183870967741
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 0.00016983167741935483		Ring Algorithm: 0.00017854467741935484
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.0003222373548387097		Ring Algorithm: 0.0003309503548387097
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.0006270487096774193		Ring Algorithm: 0.0006357617096774194

Performance for Process Count: 8
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.1838617340647005e-06		Ring Algorithm: 5.083069930186179e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 2.193317321038293e-06		Ring Algorithm: 5.092525517159771e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.2122284949854775e-06		Ring Algorithm: 5.111436691106956e-06
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 2.250050842879846e-06		Ring Algorithm: 5.149259039001325e-06
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 2.325695538668584e-06		Ring Algorithm: 5.224903734790062e-06
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 2.4769849302460596e-06		Ring Algorithm: 5.376193126367538e-06
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 2.7795637134010112e-06		Ring Algorithm: 5.678771909522489e-06
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 3.3847212797109137e-06		Ring Algorithm: 6.2839294758323915e-06
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 4.5950364123307185e-06		Ring Algorithm: 7.494244608452197e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 7.01566667757033e-06		Ring Algorithm: 9.914874873691808e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 1.1856927208049551e-05		Ring Algorithm: 1.4756135404171029e-05
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.891722849462365e-05		Ring Algorithm: 6.376922849462365e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 3.169545698924731e-05		Ring Algorithm: 6.65474569892473e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 3.725191397849462e-05		Ring Algorithm: 7.210391397849461e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 4.8364827956989244e-05		Ring Algorithm: 8.321682795698923e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 7.05906559139785e-05		Ring Algorithm: 0.00010544265591397848
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 0.000115042311827957		Ring Algorithm: 0.00014989431182795698
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 0.000203945623655914		Ring Algorithm: 0.00023879762365591398
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 0.000381752247311828		Ring Algorithm: 0.00041660424731182797
