=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^5 	Recursive Doubling: 4.829907590932515e-06		Binomial Tree Algorithm: 9.65981518186503e-06		Rabenseifner's Algorithm: 8.855483982610625e-06
For message size: 2^6 	Recursive Doubling: 5.311002887682812e-06		Binomial Tree Algorithm: 1.0622005775365625e-05		Rabenseifner's Algorithm: 9.013343376856817e-06
For message size: 2^7 	Recursive Doubling: 6.273193481183407e-06		Binomial Tree Algorithm: 1.2546386962366816e-05		Rabenseifner's Algorithm: 9.3290621653492e-06
For message size: 2^8 	Recursive Doubling: 8.197574668184598e-06		Binomial Tree Algorithm: 1.63951493363692e-05		Rabenseifner's Algorithm: 9.960499742333965e-06
For message size: 2^9 	Recursive Doubling: 1.2046337042186982e-05		Binomial Tree Algorithm: 2.4092674084373964e-05		Rabenseifner's Algorithm: 1.1223374896303497e-05
For message size: 2^10 	Recursive Doubling: 1.9743861790191743e-05		Binomial Tree Algorithm: 3.9487723580383493e-05		Rabenseifner's Algorithm: 1.374912520424256e-05
For message size: 2^11 	Recursive Doubling: 5.4436451612903214e-05		Binomial Tree Algorithm: 0.00010887290322580643		Rabenseifner's Algorithm: 0.00010526424193548385
For message size: 2^12 	Recursive Doubling: 5.659490322580644e-05		Binomial Tree Algorithm: 0.00011318980645161289		Rabenseifner's Algorithm: 0.00010597248387096773
For message size: 2^13 	Recursive Doubling: 6.09118064516129e-05		Binomial Tree Algorithm: 0.0001218236129032258		Rabenseifner's Algorithm: 0.00010738896774193547
For message size: 2^14 	Recursive Doubling: 6.954561290322581e-05		Binomial Tree Algorithm: 0.00013909122580645162		Rabenseifner's Algorithm: 0.00011022193548387095
For message size: 2^15 	Recursive Doubling: 8.681322580645162e-05		Binomial Tree Algorithm: 0.00017362645161290324		Rabenseifner's Algorithm: 0.00011588787096774192
For message size: 2^16 	Recursive Doubling: 0.00012134845161290326		Binomial Tree Algorithm: 0.00024269690322580652		Rabenseifner's Algorithm: 0.00012721974193548386
For message size: 2^17 	Recursive Doubling: 0.00019041890322580654		Binomial Tree Algorithm: 0.00038083780645161304		Rabenseifner's Algorithm: 0.00014988348387096775
For message size: 2^18 	Recursive Doubling: 0.0003285598064516131		Binomial Tree Algorithm: 0.0006571196129032262		Rabenseifner's Algorithm: 0.00019521096774193555
For message size: 2^19 	Recursive Doubling: 0.0006048416129032262		Binomial Tree Algorithm: 0.0012096832258064523		Rabenseifner's Algorithm: 0.0002858659354838711
For message size: 2^20 	Recursive Doubling: 0.0011574052258064523		Binomial Tree Algorithm: 0.0023148104516129047		Rabenseifner's Algorithm: 0.00046717587096774217
=============================================================================================
Inter-Node Communication

Performance for Process Count: 2
For message size: 2^0 	Recursive Doubling: 7.275036453085386e-07		Binomial Tree Algorithm: 1.4550072906170773e-06		Rabenseifner's Algorithm: 1.4523056943389082e-06
For message size: 2^1 	Recursive Doubling: 7.302052415867079e-07		Binomial Tree Algorithm: 1.4604104831734159e-06		Rabenseifner's Algorithm: 1.4550072906170773e-06
For message size: 2^2 	Recursive Doubling: 7.356084341430463e-07		Binomial Tree Algorithm: 1.4712168682860926e-06		Rabenseifner's Algorithm: 1.4604104831734159e-06
For message size: 2^3 	Recursive Doubling: 7.464148192557231e-07		Binomial Tree Algorithm: 1.4928296385114462e-06		Rabenseifner's Algorithm: 1.4712168682860926e-06
For message size: 2^4 	Recursive Doubling: 7.680275894810768e-07		Binomial Tree Algorithm: 1.5360551789621537e-06		Rabenseifner's Algorithm: 1.4928296385114462e-06
For message size: 2^5 	Recursive Doubling: 8.112531299317842e-07		Binomial Tree Algorithm: 1.6225062598635684e-06		Rabenseifner's Algorithm: 1.5360551789621537e-06
For message size: 2^6 	Recursive Doubling: 8.977042108331988e-07		Binomial Tree Algorithm: 1.7954084216663976e-06		Rabenseifner's Algorithm: 1.6225062598635684e-06
For message size: 2^7 	Recursive Doubling: 1.0706063726360281e-06		Binomial Tree Algorithm: 2.1412127452720563e-06		Rabenseifner's Algorithm: 1.7954084216663976e-06
For message size: 2^8 	Recursive Doubling: 1.4164106962416868e-06		Binomial Tree Algorithm: 2.8328213924833736e-06		Rabenseifner's Algorithm: 2.1412127452720563e-06
For message size: 2^9 	Recursive Doubling: 2.108019343453004e-06		Binomial Tree Algorithm: 4.216038686906008e-06		Rabenseifner's Algorithm: 2.8328213924833736e-06
For message size: 2^10 	Recursive Doubling: 3.491236637875639e-06		Binomial Tree Algorithm: 6.982473275751278e-06		Rabenseifner's Algorithm: 4.216038686906008e-06
For message size: 2^11 	Recursive Doubling: 9.50677956989247e-06		Binomial Tree Algorithm: 1.901355913978494e-05		Rabenseifner's Algorithm: 1.8219779569892468e-05
For message size: 2^12 	Recursive Doubling: 1.0300559139784945e-05		Binomial Tree Algorithm: 2.060111827956989e-05		Rabenseifner's Algorithm: 1.901355913978494e-05
For message size: 2^13 	Recursive Doubling: 1.188811827956989e-05		Binomial Tree Algorithm: 2.377623655913978e-05		Rabenseifner's Algorithm: 2.060111827956989e-05
For message size: 2^14 	Recursive Doubling: 1.5063236559139783e-05		Binomial Tree Algorithm: 3.0126473118279565e-05		Rabenseifner's Algorithm: 2.377623655913978e-05
For message size: 2^15 	Recursive Doubling: 2.1413473118279566e-05		Binomial Tree Algorithm: 4.282694623655913e-05		Rabenseifner's Algorithm: 3.0126473118279565e-05
For message size: 2^16 	Recursive Doubling: 3.4113946236559136e-05		Binomial Tree Algorithm: 6.822789247311827e-05		Rabenseifner's Algorithm: 4.282694623655913e-05
For message size: 2^17 	Recursive Doubling: 5.9514892473118276e-05		Binomial Tree Algorithm: 0.00011902978494623655		Rabenseifner's Algorithm: 6.822789247311827e-05
For message size: 2^18 	Recursive Doubling: 0.00011031678494623656		Binomial Tree Algorithm: 0.0002206335698924731		Rabenseifner's Algorithm: 0.00011902978494623655
For message size: 2^19 	Recursive Doubling: 0.00021192056989247313		Binomial Tree Algorithm: 0.00042384113978494626		Rabenseifner's Algorithm: 0.0002206335698924731
For message size: 2^20 	Recursive Doubling: 0.0004151281397849462		Binomial Tree Algorithm: 0.0008302562795698924		Rabenseifner's Algorithm: 0.00042384113978494626

Performance for Process Count: 4
For message size: 2^0 	Recursive Doubling: 1.4604104831734159e-06		Binomial Tree Algorithm: 2.9208209663468317e-06		Rabenseifner's Algorithm: 2.9073129849559853e-06
For message size: 2^1 	Recursive Doubling: 1.4712168682860926e-06		Binomial Tree Algorithm: 2.942433736572185e-06		Rabenseifner's Algorithm: 2.915417773790493e-06
For message size: 2^2 	Recursive Doubling: 1.4928296385114462e-06		Binomial Tree Algorithm: 2.9856592770228924e-06		Rabenseifner's Algorithm: 2.9316273514595084e-06
For message size: 2^3 	Recursive Doubling: 1.5360551789621537e-06		Binomial Tree Algorithm: 3.0721103579243073e-06		Rabenseifner's Algorithm: 2.964046506797539e-06
For message size: 2^4 	Recursive Doubling: 1.6225062598635684e-06		Binomial Tree Algorithm: 3.2450125197271368e-06		Rabenseifner's Algorithm: 3.0288848174736e-06
For message size: 2^5 	Recursive Doubling: 1.7954084216663976e-06		Binomial Tree Algorithm: 3.5908168433327952e-06		Rabenseifner's Algorithm: 3.158561438825722e-06
For message size: 2^6 	Recursive Doubling: 2.1412127452720563e-06		Binomial Tree Algorithm: 4.2824254905441126e-06		Rabenseifner's Algorithm: 3.4179146815299658e-06
For message size: 2^7 	Recursive Doubling: 2.8328213924833736e-06		Binomial Tree Algorithm: 5.665642784966747e-06		Rabenseifner's Algorithm: 3.936621166938454e-06
For message size: 2^8 	Recursive Doubling: 4.216038686906008e-06		Binomial Tree Algorithm: 8.432077373812017e-06		Rabenseifner's Algorithm: 4.9740341377554295e-06
For message size: 2^9 	Recursive Doubling: 6.982473275751278e-06		Binomial Tree Algorithm: 1.3964946551502556e-05		Rabenseifner's Algorithm: 7.048860079389382e-06
For message size: 2^10 	Recursive Doubling: 1.2515342453441816e-05		Binomial Tree Algorithm: 2.503068490688363e-05		Rabenseifner's Algorithm: 1.1198511962657286e-05
